Water_Name,Water_Body,County,Countycode,ST_Provinc,Location,ID,lat,lon,CRB,Lat_ra,Long_ra,mean_ca_mg_2009,mean_pH_2009,roe_2009,roe_f_2009,ramcharan09,state_ass09,roi_1_2009,roi_2_2009,Roe_rank_2009,roi_3_2009,Roi_rank_2009,Rank_sumAll_2009,Rank_sum_2009,Trips2008,Trips2010,Mn_trips_08_10,DayUsedays08,DayUsedays10,Mn_dayuse_08_10,Size_Acres,No_boats_2012,No_Tourns_2012,No_Tourns_2006_08,No_boats_2006_08,Dayuse_100thm,No_ramps,CaMax_ISDA2011,ISDA2011_Rank,Elevation_ft,Motors,Fishing,Marinas,Cold,Warm,Reports,USERS,MT_Stream_Name,Length_Miles,Drainage,Region,Boat,Total_Pressure,TotPressure_Error,Total_Trips,Resident_Pressure,Res_Pressure_error,Res_Trips,Nonresident_Pressure,Nonres_Presssure_Error,NonRes_Trips,State_Rank,Regional_Rank
Columbia River,Banks Lake/Banks Reservoir,Grant,Gran,WA,Million Dollar South,Banks Lake/Banks Reservoir_Gran_WA,47.719681,-119.257219,1,47.62424,-119.29768,17.8,7.9,Medium,.,Absence,.,High,High,5,High,10,15,15,.,.,.,.,.,.,25000,.,.,.,.,.,10,.,.,1570,1,1,3,0,1,50,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Columbia River,Banks Lake/Banks Reservoir,Grant,Gran,WA,Osborne Bay,Banks Lake/Banks Reservoir_Gran_WA,47.912342,-119.049014,1,47.62424,-119.29768,17.8,7.9,Medium,.,Absence,.,High,High,5,High,10,15,15,.,.,.,.,.,.,25000,.,.,.,.,.,10,.,.,1570,1,1,3,0,1,50,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Columbia River,Banks Lake/Banks Reservoir,Grant,Gran,WA,Populars,Banks Lake/Banks Reservoir_Gran_WA,47.829461,-119.134022,1,47.62424,-119.29768,17.8,7.9,Medium,.,Absence,.,High,High,5,High,10,15,15,.,.,.,.,.,.,25000,.,.,.,.,.,10,.,.,1570,1,1,3,0,1,50,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Columbia River,Banks Lake/Banks Reservoir,Grant,Gran,WA,Steamboat Rock State Park,Banks Lake/Banks Reservoir_Gran_WA,47.863203,-119.119483,1,47.62424,-119.29768,17.8,7.9,Medium,.,Absence,.,High,High,5,High,10,15,15,.,.,.,.,.,.,25000,.,.,.,.,.,10,.,.,1570,1,1,3,0,1,50,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Columbia River,Banks Lake/Banks Reservoir,Grant,Gran,WA,Sunbanks Resort,Banks Lake/Banks Reservoir_Gran_WA,47.927348,-119.056561,1,47.62424,-119.29768,17.8,7.9,Medium,.,Absence,.,High,High,5,High,10,15,15,.,.,.,.,.,.,25000,.,.,.,.,.,10,.,.,1570,1,1,3,0,1,50,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Bead Lake,Bead Lake,Pend Oreille,Pend,WA,.,Bead Lake_Pend_WA,48.298026,-117.12365,1,48.288909,-117.110146,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,718,.,.,.,.,.,1,.,.,2833,1,1,0,1,0,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Beaver Creek,Beaver Creek,Sanders,Sand,MT,.,Beaver Creek_Sand_MT,47.841285,-115.595865,1,47.8124347,-115.5393366,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2333,.,.,.,.,.,.,.,Beaver Creek,10.5,Lower Clark Fork,1,.,300,173,5,300,173,5,0,0,0,530,128
Beaver Lake,Beaver Lake,Flathead,Flat,MT,Beaver Lake,Beaver Lake_Flat_MT,48.431092,-114.421235,1,48.43267,-114.41806,.,.,.,.,.,.,Low,Low,0,Low,3,3,.,.,.,.,.,.,.,144.4,.,.,.,.,.,.,.,.,3264,.,.,.,.,.,.,.,Beaver Lake,.,Stillwater in Pend Oreille Catalo,1,1,1694,526,30,909,414,17,785,324,13,223,50
Beaver Lake,Beaver Lake,Okanogan,Okan,WA,Beaver Lake Picnic Area (Okanogan Co.),Beaver Lake_Okan_WA,48.854611,-118.977,1,48.850634,-118.969483,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,.,.,.,.,.,1,.,.,2701,1,1,0,1,0,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Beavertail Hill Pond,Beavertail Hill Pond,Missoula,Miss,MT,Beavertail Pond,Beavertail Hill Pond_Miss_MT,46.729182,-113.578363,1,46.7285391,-113.5770337,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.1,.,.,.,.,.,.,.,.,36.3,.,.,.,.,.,.,.,Beavertail Hill Pond,.,Upper Clark Fork,2,1,4448,1416,97,4349,1415,94,99,57,3,118,22
